# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
103           	smoothSolver	2.170140e-04	1.841850e-05	7	5.049890e-03	4.693500e-04	6	4.457700e-03	4.260260e-04	6	false	GAMG	2.383030e-03	9.347340e-06	4	true
104           	smoothSolver	2.130690e-04	1.810870e-05	7	4.940710e-03	4.593310e-04	6	4.384000e-03	4.170830e-04	6	false	GAMG	2.349040e-03	8.999280e-06	4	true
105           	smoothSolver	2.080860e-04	1.771860e-05	7	4.840790e-03	4.536450e-04	6	4.308810e-03	4.098690e-04	6	false	GAMG	2.312530e-03	8.692470e-06	4	true
106           	smoothSolver	2.027460e-04	1.723020e-05	7	4.748920e-03	4.467790e-04	6	4.238670e-03	4.052420e-04	6	false	GAMG	2.274750e-03	8.463140e-06	4	true
107           	smoothSolver	1.987480e-04	1.687360e-05	7	4.674820e-03	4.405090e-04	6	4.177770e-03	4.007280e-04	6	false	GAMG	2.235980e-03	8.319960e-06	4	true
108           	smoothSolver	1.960370e-04	1.661950e-05	7	4.630940e-03	4.342400e-04	6	4.140040e-03	3.973020e-04	6	false	GAMG	2.197800e-03	8.283350e-06	4	true
109           	smoothSolver	1.936620e-04	1.635910e-05	7	4.593670e-03	4.300250e-04	6	4.095320e-03	3.949010e-04	6	false	GAMG	2.166320e-03	8.326910e-06	4	true
110           	smoothSolver	1.915710e-04	1.620160e-05	7	4.549560e-03	4.266950e-04	6	4.059590e-03	3.933220e-04	6	false	GAMG	2.138370e-03	8.484410e-06	4	true
111           	smoothSolver	1.896660e-04	1.611840e-05	7	4.535900e-03	4.301870e-04	6	4.036960e-03	3.920030e-04	6	false	GAMG	2.110820e-03	8.507830e-06	4	true
112           	smoothSolver	1.873250e-04	1.604120e-05	7	4.515640e-03	4.336800e-04	6	4.000110e-03	3.908750e-04	6	false	GAMG	2.083380e-03	8.413120e-06	4	true
113           	smoothSolver	1.856040e-04	1.608380e-05	7	4.508380e-03	4.373720e-04	6	3.953580e-03	3.893860e-04	6	false	GAMG	2.056080e-03	8.050280e-06	4	true
114           	smoothSolver	1.842630e-04	1.621640e-05	7	4.483170e-03	4.389570e-04	6	3.902340e-03	3.881050e-04	6	false	GAMG	2.034040e-03	7.718610e-06	4	true
115           	smoothSolver	1.839290e-04	1.645570e-05	7	4.429570e-03	4.396330e-04	6	3.841930e-03	2.847580e-04	7	false	GAMG	2.004400e-03	7.664980e-06	4	true
116           	smoothSolver	1.829500e-04	1.663310e-05	7	4.389880e-03	4.383450e-04	6	3.764250e-03	2.793050e-04	7	false	GAMG	1.972470e-03	7.572820e-06	4	true
117           	smoothSolver	1.818360e-04	1.680880e-05	7	4.342030e-03	3.211210e-04	7	3.679750e-03	2.721360e-04	7	false	GAMG	1.939950e-03	7.653020e-06	4	true
118           	smoothSolver	1.809630e-04	1.689880e-05	7	4.298450e-03	4.285720e-04	6	3.606080e-03	2.670600e-04	7	false	GAMG	1.905250e-03	7.599860e-06	4	true
119           	smoothSolver	1.793000e-04	1.685390e-05	7	4.238700e-03	4.237850e-04	6	3.536180e-03	2.606760e-04	7	false	GAMG	1.875210e-03	7.513070e-06	4	true
120           	smoothSolver	1.766340e-04	1.662660e-05	7	4.168350e-03	3.065790e-04	7	3.465230e-03	3.454950e-04	6	false	GAMG	1.847650e-03	7.244960e-06	4	true
121           	smoothSolver	1.737020e-04	1.631330e-05	7	4.064550e-03	4.046580e-04	6	3.407820e-03	3.390090e-04	6	false	GAMG	1.824120e-03	6.976910e-06	4	true
122           	smoothSolver	1.697430e-04	1.580070e-05	7	3.980770e-03	3.926640e-04	6	3.354710e-03	3.327270e-04	6	false	GAMG	1.807400e-03	6.815340e-06	4	true
123           	smoothSolver	1.661460e-04	1.526240e-05	7	3.891950e-03	3.811350e-04	6	3.298040e-03	3.233950e-04	6	false	GAMG	1.789370e-03	6.640990e-06	4	true
124           	smoothSolver	1.611670e-04	1.457900e-05	7	3.792170e-03	3.676120e-04	6	3.221210e-03	3.099260e-04	6	false	GAMG	1.763560e-03	1.748130e-05	3	true
125           	smoothSolver	1.556240e-04	1.382540e-05	7	3.675940e-03	3.504780e-04	6	3.127220e-03	2.951960e-04	6	false	GAMG	1.745200e-03	6.555050e-06	4	true
