# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
74              	7.80044430e-02	2.98303182e-02	4.81741247e-02	1.83438065e-01	6.51379160e-02	1.18300149e-01	-2.65811164e-02	-9.17190324e-03	3.90022215e-03	-1.27923187e-20	3.90022215e-03	-3.90022215e-03
75              	7.88090120e-02	3.00296465e-02	4.87793655e-02	1.87497189e-01	6.67014995e-02	1.20795690e-01	-2.70470952e-02	-9.37485947e-03	3.94045060e-03	-1.27082062e-20	3.94045060e-03	-3.94045060e-03
76              	7.96814079e-02	3.02405515e-02	4.94408564e-02	1.92003048e-01	6.83733371e-02	1.23629711e-01	-2.76281871e-02	-9.60015242e-03	3.98407039e-03	-1.26298985e-20	3.98407039e-03	-3.98407039e-03
77              	8.05144835e-02	3.04361860e-02	5.00782975e-02	1.96421115e-01	6.99972167e-02	1.26423898e-01	-2.82133407e-02	-9.82105573e-03	4.02572418e-03	-1.25569080e-20	4.02572418e-03	-4.02572418e-03
78              	8.13717921e-02	3.06345097e-02	5.07372825e-02	2.01027728e-01	7.16655898e-02	1.29362138e-01	-2.88482742e-02	-1.00513864e-02	4.06858961e-03	-1.24825270e-20	4.06858961e-03	-4.06858961e-03
79              	8.21373308e-02	3.08059069e-02	5.13314238e-02	2.05255169e-01	7.32349475e-02	1.32020222e-01	-2.93926371e-02	-1.02627585e-02	4.10686654e-03	-1.24113779e-20	4.10686654e-03	-4.10686654e-03
80              	8.28303888e-02	3.09593064e-02	5.18710824e-02	2.09117760e-01	7.47285816e-02	1.34389178e-01	-2.98302982e-02	-1.04558880e-02	4.14151944e-03	-1.23363994e-20	4.14151944e-03	-4.14151944e-03
81              	8.34771263e-02	3.11050135e-02	5.23721128e-02	2.12670992e-01	7.61676454e-02	1.36503347e-01	-3.01678507e-02	-1.06335496e-02	4.17385632e-03	-1.22518390e-20	4.17385632e-03	-4.17385632e-03
82              	8.41116419e-02	3.12500606e-02	5.28615812e-02	2.16115206e-01	7.76051201e-02	1.38510086e-01	-3.04524829e-02	-1.08057603e-02	4.20558209e-03	-1.21501533e-20	4.20558209e-03	-4.20558209e-03
83              	8.48389702e-02	3.14234249e-02	5.34155452e-02	2.19921203e-01	7.91626394e-02	1.40758564e-01	-3.07979622e-02	-1.09960602e-02	4.24194851e-03	-1.20346562e-20	4.24194851e-03	-4.24194851e-03
84              	8.56275614e-02	3.16105317e-02	5.40170297e-02	2.24064979e-01	8.07992067e-02	1.43265773e-01	-3.12332831e-02	-1.12032490e-02	4.28137807e-03	-1.19066660e-20	4.28137807e-03	-4.28137807e-03
85              	8.62749919e-02	3.17542076e-02	5.45207842e-02	2.27665766e-01	8.22582393e-02	1.45407527e-01	-3.15746438e-02	-1.13832883e-02	4.31374959e-03	-1.17862242e-20	4.31374959e-03	-4.31374959e-03
86              	8.68790752e-02	3.18821675e-02	5.49969077e-02	2.31147403e-01	8.36941995e-02	1.47453203e-01	-3.18795018e-02	-1.15573701e-02	4.34395376e-03	-1.16586612e-20	4.34395376e-03	-4.34395376e-03
87              	8.74011630e-02	3.19861620e-02	5.54150010e-02	2.34288390e-01	8.50740990e-02	1.49214291e-01	-3.20700961e-02	-1.17144195e-02	4.37005815e-03	-1.15246296e-20	4.37005815e-03	-4.37005815e-03
88              	8.78252308e-02	3.20636095e-02	5.57616213e-02	2.36980119e-01	8.63746508e-02	1.50605468e-01	-3.21154086e-02	-1.18490059e-02	4.39126154e-03	-1.13853941e-20	4.39126154e-03	-4.39126154e-03
89              	8.80976327e-02	3.20965999e-02	5.60010328e-02	2.39044330e-01	8.75129893e-02	1.51531340e-01	-3.20091755e-02	-1.19522165e-02	4.40488164e-03	-1.12600462e-20	4.40488164e-03	-4.40488164e-03
90              	8.82634222e-02	3.20975165e-02	5.61659057e-02	2.40683892e-01	8.85235578e-02	1.52160334e-01	-3.18183881e-02	-1.20341946e-02	4.41317111e-03	-1.11489822e-20	4.41317111e-03	-4.41317111e-03
91              	8.85263354e-02	3.21260776e-02	5.64002578e-02	2.42741803e-01	8.97053165e-02	1.53036486e-01	-3.16655848e-02	-1.21370901e-02	4.42631677e-03	-1.10177653e-20	4.42631677e-03	-4.42631677e-03
92              	8.88881295e-02	3.21785599e-02	5.67095696e-02	2.45310097e-01	9.10383294e-02	1.54271768e-01	-3.16167193e-02	-1.22655049e-02	4.44440647e-03	-1.08766549e-20	4.44440647e-03	-4.44440647e-03
93              	8.93121640e-02	3.22395669e-02	5.70725972e-02	2.48330303e-01	9.24810896e-02	1.55849213e-01	-3.16840619e-02	-1.24165152e-02	4.46560820e-03	-1.07357031e-20	4.46560820e-03	-4.46560820e-03
94              	8.97933253e-02	3.23135971e-02	5.74797282e-02	2.51661311e-01	9.39568405e-02	1.57704471e-01	-3.18738152e-02	-1.25830656e-02	4.48966626e-03	-1.05913001e-20	4.48966626e-03	-4.48966626e-03
95              	9.03009703e-02	3.23901708e-02	5.79107996e-02	2.55206288e-01	9.54828340e-02	1.59723454e-01	-3.21203100e-02	-1.27603144e-02	4.51504852e-03	-1.04403197e-20	4.51504852e-03	-4.51504852e-03
96              	9.07508600e-02	3.24464869e-02	5.83043730e-02	2.58578861e-01	9.69465119e-02	1.61632349e-01	-3.23429186e-02	-1.29289431e-02	4.53754300e-03	-1.02931092e-20	4.53754300e-03	-4.53754300e-03
97              	9.10583164e-02	3.24565203e-02	5.86017961e-02	2.61452759e-01	9.82538236e-02	1.63198935e-01	-3.24725556e-02	-1.30726379e-02	4.55291582e-03	-1.01589761e-20	4.55291582e-03	-4.55291582e-03
98              	9.12266553e-02	3.24256428e-02	5.88010124e-02	2.63753696e-01	9.93950312e-02	1.64358665e-01	-3.24818168e-02	-1.31876848e-02	4.56133276e-03	-1.00459468e-20	4.56133276e-03	-4.56133276e-03
99              	9.13132205e-02	3.23708909e-02	5.89423296e-02	2.65714387e-01	1.00442998e-01	1.65271389e-01	-3.24141952e-02	-1.32857193e-02	4.56566103e-03	-9.94716966e-21	4.56566103e-03	-4.56566103e-03
100             	9.13278494e-02	3.22944699e-02	5.90333794e-02	2.67389095e-01	1.01422698e-01	1.65966397e-01	-3.22718495e-02	-1.33694548e-02	4.56639247e-03	-9.86263789e-21	4.56639247e-03	-4.56639247e-03
101             	9.12830496e-02	3.22022071e-02	5.90808426e-02	2.68786355e-01	1.02331317e-01	1.66455038e-01	-3.20618606e-02	-1.34393178e-02	4.56415248e-03	-9.78853755e-21	4.56415248e-03	-4.56415248e-03
102             	9.12874258e-02	3.21228225e-02	5.91646033e-02	2.70417808e-01	1.03377745e-01	1.67040063e-01	-3.18311594e-02	-1.35208904e-02	4.56437129e-03	-9.70110187e-21	4.56437129e-03	-4.56437129e-03
103             	9.12931392e-02	3.20447700e-02	5.92483692e-02	2.72035992e-01	1.04457785e-01	1.67578207e-01	-3.15602110e-02	-1.36017996e-02	4.56465696e-03	-9.60593030e-21	4.56465696e-03	-4.56465696e-03
